Key,Type,Desc,English,Italian,German,French,Spanish,Japanese,Korean,Polish,Russian,Chinese (Simplified),Portuguese (Brazil),Chinese (Traditional)
CommNext/UI/ConnectionsDisplayModeNone,Text,Connections display mode: None,Disabled,Disabilitato,Deaktiviert,Désactivé,Desactivado,禁用,비활성화,Dezaktywowane,Отключено,禁用,Desativado,禁用
CommNext/UI/ConnectionsDisplayModeLines,Text,Connections display mode: Lines,All active connections,Tutte le connessioni attive,Alle aktiven Verbindungen,Toutes les connexions actives,Todas las conexiones activas,所有活动连接,모든 활성 연결,Wszystkie aktywne połączenia,Все активные соединения,所有活动连接,Todas as conexões ativas,所有活动连接
CommNext/UI/ConnectionsDisplayModeActive,Text,Connections display mode: Active,Active vessel path,Percorso del veicolo attivo,Aktiver Schiffspfad,Chemin du vaisseau actif,Ruta de la nave activa,活动船只路径,활성 선박 경로,Aktywna ścieżka statku,Активный путь судна,活动船只路径,Caminho da nave ativa,活动船只路径
CommNext/UI/RulersTooltip,Text,Show sphere rulers tooltip,Show sphere rulers,Mostra righelli sferici,Sphärenlineale anzeigen,Afficher les règles de la sphère,Mostrar reglas de la esfera,显示球体标尺,구체 규칙 보기,Pokaż linijki sferyczne,Показать шаровые линейки,显示球体标尺,Mostrar réguas de esfera,显示球体标尺
CommNext/UI/VesselReportTooltip,Text,,Show vessel report,Mostra report del veicolo,Schiffbericht anzeigen,Afficher le rapport du vaisseau,Mostrar informe de la nave,显示船只报告,선박 보고서 보기,Pokaż raport statku,Показать отчет о судне,显示船只报告,Mostrar relatório da nave,显示船只报告
CommNext/UI/FilterLabel,Text,Tooltip for filter dropdown,Filter,Filtra,Filter,Filtre,Filtrar,过滤,필터,Filter,Filtr,过滤,Filtro,过滤
CommNext/UI/SortLabel,Text,Tooltip for sort dropdown,Sort,Ordina,Sortieren,Trier,Ordenar,排序,정렬,Sortuj,Сортировать,排序,Ordenar,排序
CommNext/UI/NoPower,Text,Relay has no power,No power,Nessuna alimentazione,Keine Stromversorgung,Aucune alimentation,Sin alimentación,无电源,전원 없음,Brak zasilania,Нет питания,无电源,Sem energia,无电源
CommNext/UI/RangeLabel,Text,Max Range for current vessel,Range {0},Raggio {0},Reichweite {0},Portée {0},Alcance {0},范围 {0},범위 {0},Zasięg {0},Дальность {0},范围 {0},Alcance {0},范围 {0}
CommNext/UI/EnableRelay,Text,Enable relay,Enable relay,Abilita ripetitore,Relais aktivieren,Activer le relais,Activar relé,启用中继,릴레이 활성화,Włącz przekaźnik,Включить реле,启用中继,Ativar relé,启用中继
CommNext/UI/OmniBand,Text,Omni-band,Omni-band,Omni-Band,Omni-bande,Omni-banda,全频段,옴니밴드,Omni-band,Омни-диапазон,全频段,Omni-banda,全频段
CommNext/UI/NoneBand,Text,None,None,Nessuna,Keine,Aucune,Ninguna,无,없음,Brak,Нет,无,Nenhum,无
CommNext/UI/BandMissingRange,Text,This band is outside range and no other is available,Band {0} out of range,Banda {0} fuori portata,Band {0} außerhalb der Reichweite,Bande {0} hors de portée,Banda {0} fuera de rango,{0}频段超出范围,{0} 대역이 범위를 벗어남,Band {0} poza zasięgiem,Диапазон {0} вне зоны действия,{0}频段超出范围,Banda {0} fora de alcance,{0}频段超出范围
CommNext/UI/NoAvailableBand,Text,No band matching between source and target vessels,No available band,Banda non disponibile,Keine passende Bandbreite,La bande n'est pas disponible,No hay banda disponible,无可用频段,사용 가능한 대역 없음,Brak pasującej przepustki,Нет подходящего диапазона,无可用频段,Nenhuma banda disponível,无可用频段
PartModules/NextModulator/Kind,Text,,Modulation kind,Tipo di modulazione,Modulationsart,Type de modulation,Tipo de modulación,调制类型,변조 종류,Rodzaj modulacji,Вид модуляции,调制类型,Tipo de modulação,调制类型
PartModules/NextModulator/KindMonoBand,Text,,Mono-band,Mono-banda,Mono-Band,Mono-bande,Mono-banda,单频段,단일 대역,Jednozakresowy,Моно-диапазон,单频段,Mono-banda,单频段
PartModules/NextModulator/KindDualBand,Text,,Dual-band,Dual-banda,Dual-Band,Dual-bande,Dual-banda,双频段,듀얼 대역,Dwuzakresowy,Двойной диапазон,双频段,Dual-banda,双频段
PartModules/NextModulator/KindOmniBand,Text,,Omni-band,Omni-banda,Omni-Band,Omni-bande,Omni-banda,全频段,옴니밴드,Omni-band,Омни-диапазон,全频段,Omni-banda,全频段
PartModules/NextModulator/Name,Text,,Signal Modulator,Modulatore di Segnale,Signalmodulator,Modulateur de signal,Modulador de señal,信号调制器,신호 변조기,Modulator sygnału,Модулятор сигнала,信号调制器,Modulador de sinal,信号调制器
CommNext/UI/ActionRequiresMapView,Text,,Action is enabled only in Map View,L'azione è abilitata solo nella vista mappa,Aktion ist nur in der Kartenansicht aktivée,Action activée uniquement dans la vue carte,La acción solo está habilitada en la vista de mapa,此操作仅在地图视图中启用,작업은 맵 뷰에서만 활성화됩니다,Akcja jest aktywna tylko w widoku mapy,Действие доступно только в режиме карты,此操作仅在地图视图中启用,A ação só está habilitada na visualização de mapa,此操作仅在地图视图中启用
CommNext/UI/TooltipActivateBandRulers,Text,,Toggle this band rulers in Map View,Abilita/disabilita i righelli di questa banda nella vista mappa,Aktivieren/Deaktivieren dieser Bandlineale in der Kartenansicht,Activer/désactiver les règles de cette bande dans la vue carte,Alternar reglas de esta banda en la vista de mapa,在地图视图中切换此频段标尺,맵 뷰에서 이 대역 눈금자를 토글합니다,Przełącz tę przepustkę w widoku mapy,Переключить эту шкалу в режиме карты,在地图视图中切换此频段标尺,Alternar réguas desta banda na visualização de mapa,在地图视图中切换此频段标尺
